name,type,category,power,accuracy,pp,priority,method,level,description,megaLauncherBoosted,source
Dragon Pulse,Dragon,Special,85,100,10,0,Level up,36,Deals damage without an additional effect. Mega Launcher boosts its power.,True,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Bug Buzz,Bug,Special,90,100,10,0,Level up,40,Has a 10% chance to lower the target's Special Defense by one stage. This sound move passes through Substitute.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Flamethrower,Fire,Special,90,100,15,0,Level up,44,Has a 10% chance to burn the target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Lunge,Bug,Physical,80,100,15,0,Level up,48,Lowers the hit target's Attack by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Belch,Poison,Special,120,90,10,0,Level up,52,Can be selected only after the user has eaten a Berry during that battle.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Overheat,Fire,Special,130,90,5,0,Level up,56,"After a successful hit, lowers the user's Special Attack by two stages.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Hyper Beam,Normal,Special,150,90,5,0,Level up,60,"After a successful hit, the user must recharge on its next turn.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Struggle Bug,Bug,Special,50,100,20,0,TM,,Lowers each hit foe's Special Attack by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Acid Spray,Poison,Special,40,100,20,0,TM,,Lowers the hit target's Special Defense by two stages. Steel-type immunity prevents the effect.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Protect,Normal,Status,,,10,4,TM,,Blocks most incoming moves this turn. Repeated consecutive protection attempts become less likely to succeed.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Pounce,Bug,Physical,50,100,20,0,TM,,Lowers the hit target's Speed by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Thief,Dark,Physical,60,100,25,0,TM,,"Steals the target's held item if the user is not holding one, unless an item or ability prevents theft.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Endure,Normal,Status,,,10,4,TM,,Leaves the user with at least 1 HP from direct attacks this turn. Repeated consecutive protection attempts become less likely to succeed.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Sleep Talk,Normal,Status,,,10,0,TM,,"While asleep, calls one eligible move from the user's other known moves at random.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Rest,Psychic,Status,,,5,0,TM,,Restores all HP and replaces the user's status with sleep for two turns; fails at full HP or if sleep is prevented.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Substitute,Normal,Status,,,10,0,TM,,Spends one quarter of maximum HP to create a decoy; fails without enough HP. Some effects bypass it.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Facade,Normal,Physical,70,100,20,0,TM,,"Doubles its power if the user is burned, poisoned, or paralyzed. Burn does not halve this move's damage.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Skitter Smack,Bug,Physical,70,90,10,0,TM,,Lowers the hit target's Special Attack by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Dragon Pulse,Dragon,Special,85,100,10,0,TM,,Deals damage without an additional effect. Mega Launcher boosts its power.,True,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Water Pulse,Water,Special,60,100,20,0,TM,,Has a 20% chance to confuse the target. Mega Launcher boosts its power.,True,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Dark Pulse,Dark,Special,80,100,15,0,TM,,Has a 20% chance to make the target flinch. Mega Launcher boosts its power.,True,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Bug Buzz,Bug,Special,90,100,10,0,TM,,Has a 10% chance to lower the target's Special Defense by one stage. This sound move passes through Substitute.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Sludge Bomb,Poison,Special,90,100,10,0,TM,,Has a 30% chance to poison the target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Flamethrower,Fire,Special,90,100,15,0,TM,,Has a 10% chance to burn the target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Fire Blast,Fire,Special,110,85,5,0,TM,,Has a 10% chance to burn the target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Overheat,Fire,Special,130,90,5,0,TM,,"After a successful hit, lowers the user's Special Attack by two stages.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Hyper Beam,Normal,Special,150,90,5,0,TM,,"After a successful hit, the user must recharge on its next turn.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Giga Impact,Normal,Physical,150,90,5,0,TM,,"After a successful hit, the user must recharge on its next turn.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Tera Blast,Normal,Special,80,100,10,0,TM,,"While Terastallized, becomes the Tera Type and uses physical damage if Attack exceeds Special Attack. Stellar Tera makes its power 100 and lowers both attacking stats by one stage after a hit.",False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Iron Defense,Steel,Status,,,15,0,TM,,Raises the user's Defense by two stages.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Scary Face,Normal,Status,,100,10,0,TM,,Lowers the target's Speed by two stages.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Venoshock,Poison,Special,65,100,10,0,TM,,Doubles its power against a poisoned target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
